Transport_Type,Source,Destination,median_price,avg_price,median_duration,avg_duration,median_distance,count
Cab,AIIMS (Delhi),Golf Course Road (Delhi),278.0,355.3333333333333,60.08,74.67999999999999,15.02,3
Cab,AIIMS (Delhi),Govindpuri (Delhi),171.5,449.5,84.7,104.17333333333333,21.175,6
Cab,AIIMS (Delhi),Greater Kailash (Delhi),830.0,830.0,73.48,73.48,18.37,1
Cab,AIIMS (Delhi),Greater Noida (Delhi),807.0,643.0,35.84,57.21333333333334,8.96,3
Cab,AIIMS (Delhi),Green Park (Delhi),329.0,323.6666666666667,68.88,94.98666666666666,17.22,3
Cab,AIIMS (Delhi),Gurgaon Railway Station (Delhi),363.0,363.0,82.16,82.16,20.54,1
Cab,AIIMS (Delhi),Gurgaon Sector 29 (Delhi),458.0,436.0,88.52,86.52799999999999,22.13,5
Cab,AIIMS (Delhi),Gurgaon Sector 56 (Delhi),466.0,500.0,171.08,132.17333333333332,42.77,3
Cab,AIIMS (Delhi),Gwal Pahari (Delhi),483.0,565.625,98.28,100.92999999999999,24.57,8
Cab,AIIMS (Delhi),Hauz Khas (Delhi),673.0,757.3333333333334,110.96,119.81333333333333,27.74,3
Cab,AIIMS (Delhi),Hauz Rani (Delhi),497.0,520.1428571428571,100.6,95.65714285714286,25.15,7
Cab,AIIMS (Delhi),Hero Honda Chowk (Delhi),817.0,817.0,121.54,121.54,30.385,2
Cab,AIIMS (Delhi),IFFCO Chowk (Delhi),256.5,256.5,103.44,103.44,25.86,2
Cab,AIIMS (Delhi),IGI Airport (Delhi),540.0,509.0,151.36,110.752,37.84,5
Cab,AIIMS (Delhi),IGNOU Road (Delhi),316.0,562.25,108.24000000000001,103.24,27.060000000000002,4
Cab,AIIMS (Delhi),IIT Delhi (Delhi),394.0,394.0,120.32,120.32,30.08,1
Cab,AIIMS (Delhi),IMT Manesar (Delhi),346.0,392.6,106.4,95.47999999999999,26.6,5
Cab,AIIMS (Delhi),INA Market (Delhi),812.5,812.5,156.44,156.44,39.11,2
Cab,AIIMS (Delhi),ITO (Delhi),663.0,632.0,117.76,114.64000000000001,29.44,5
Cab,AIIMS (Delhi),Inderlok (Delhi),324.0,496.75,157.34,144.6,39.335,4
Cab,AIIMS (Delhi),India Gate (Delhi),237.0,271.5,127.72,114.86,31.93,4
Cab,AIIMS (Delhi),Indirapuram (Delhi),448.0,448.0,123.63999999999999,123.63999999999999,30.909999999999997,2
Cab,AIIMS (Delhi),Indraprastha (Delhi),178.5,334.25,142.66,143.99,35.665,4
Cab,AIIMS (Delhi),Jahangirpuri (Delhi),680.0,662.3333333333334,118.28,113.36,29.57,3
Cab,AIIMS (Delhi),Jama Masjid (Delhi),302.5,302.5,144.82,144.82,36.205,2
Cab,AIIMS (Delhi),Janakpuri (Delhi),728.0,728.0,14.56,14.56,3.64,2
Cab,AIIMS (Delhi),Jasola (Delhi),133.0,223.0,126.6,120.824,31.65,5
Cab,AIIMS (Delhi),Jhilmil (Delhi),173.0,173.0,197.76,197.76,49.44,1
Cab,AIIMS (Delhi),Jor Bagh (Delhi),153.0,331.0,139.24,120.152,34.81,5
Cab,AIIMS (Delhi),Kalkaji (Delhi),809.0,739.1666666666666,88.08,97.16000000000001,22.02,6
Cab,AIIMS (Delhi),Kanhaiya Nagar (Delhi),349.0,683.6666666666666,80.66,68.42,20.165,6
Cab,AIIMS (Delhi),Karkarduma (Delhi),307.5,307.5,153.42000000000002,153.42000000000002,38.355000000000004,2
Cab,AIIMS (Delhi),Kashmere Gate (Delhi),723.5,723.5,186.38,186.38,46.595,2
Cab,AIIMS (Delhi),Kashmere Gate ISBT (Delhi),519.5,478.0,93.92,100.672,23.48,10
Cab,AIIMS (Delhi),Kaushambi (Delhi),132.0,312.6666666666667,52.12,67.44,13.03,3
Cab,AIIMS (Delhi),Keshav Puram (Delhi),491.0,491.0,89.96,89.96,22.49,1
Cab,AIIMS (Delhi),Khan Market (Delhi),674.0,765.0,140.98,129.12,35.245,4
Cab,AIIMS (Delhi),Khandsa (Delhi),476.0,571.0,92.8,109.008,23.2,5
Cab,AIIMS (Delhi),Kherki Daula Toll (Delhi),272.0,272.0,91.08,91.08,22.77,1
Cab,AIIMS (Delhi),Kirti Nagar (Delhi),327.0,347.6666666666667,156.88,161.74666666666667,39.22,3
Cab,AIIMS (Delhi),Lajpat Nagar (Delhi),641.5,641.5,132.28,132.28,33.07,2
Cab,AIIMS (Delhi),Lal Quila (Delhi),635.0,546.4,136.28,121.832,34.07,5
Cab,AIIMS (Delhi),Laxmi Nagar (Delhi),840.0,840.0,129.24,129.24,32.31,2
Cab,AIIMS (Delhi),Lok Kalyan Marg (Delhi),661.0,659.3333333333334,89.53999999999999,93.44,22.384999999999998,6
Cab,AIIMS (Delhi),MG Road (Delhi),97.0,97.0,46.64,46.64,11.66,1
Cab,AIIMS (Delhi),Madipur (Delhi),435.5,435.1666666666667,87.64,109.10000000000001,21.91,6
Cab,AIIMS (Delhi),Maidan Garhi (Delhi),668.0,828.8,107.6,114.896,26.9,5
Cab,AIIMS (Delhi),Malviya Nagar (Delhi),149.0,215.66666666666666,144.2,120.17333333333333,36.05,3
Cab,AIIMS (Delhi),Mandi House (Delhi),295.5,355.8333333333333,123.24000000000001,101.84666666666668,30.810000000000002,6
Cab,AIIMS (Delhi),Mansarovar Park (Delhi),486.0,596.0,102.24,115.176,25.56,5
Cab,AIIMS (Delhi),Mayur Vihar (Delhi),829.0,829.0,104.6,104.6,26.15,2
Cab,AIIMS (Delhi),Meerut (Delhi),268.0,268.0,108.42,108.42,27.105,2
Cab,AIIMS (Delhi),Model Town (Delhi),162.0,202.4,96.0,86.96799999999999,24.0,5
Cab,AIIMS (Delhi),Moolchand (Delhi),502.5,502.5,128.9,128.9,32.225,2
Cab,AIIMS (Delhi),Moti Nagar (Delhi),594.0,594.0,59.53999999999999,59.53999999999999,14.884999999999998,2
Cab,AIIMS (Delhi),Mundka (Delhi),282.0,341.0,44.32,54.992,11.08,5
Cab,AIIMS (Delhi),Munirka (Delhi),102.0,102.66666666666667,37.76,85.90666666666665,9.44,3
Cab,AIIMS (Delhi),Narsinghpur (Delhi),526.5,503.75,14.82,48.94,3.705,4
Cab,AIIMS (Delhi),Nawada (Delhi),404.0,404.0,85.22,85.22,21.305,2
Cab,AIIMS (Delhi),Nehru Place (Delhi),603.5,687.0,121.6,121.05000000000001,30.4,4
Cab,AIIMS (Delhi),Netaji Subhash Place (Delhi),553.0,553.0,31.0,31.0,7.75,2
Cab,AIIMS (Delhi),New Colony (Delhi),390.0,385.5,34.879999999999995,41.68,8.719999999999999,4
Cab,AIIMS (Delhi),New Delhi Railway Station (Delhi),301.0,341.3333333333333,156.36,149.85333333333335,39.09,3
Cab,AIIMS (Delhi),Noida Extension (Delhi),528.0,816.6,123.12,140.136,30.78,5
Cab,AIIMS (Delhi),Noida Film City (Delhi),338.5,338.5,130.54000000000002,130.54000000000002,32.635000000000005,2
Cab,AIIMS (Delhi),Noida Sector 18 (Delhi),509.0,455.6666666666667,98.32,90.92,24.58,3
Cab,AIIMS (Delhi),Noida Sector 62 (Delhi),758.0,758.0,84.72,84.72,21.18,2
Cab,AIIMS (Delhi),Okhla (Delhi),263.0,358.4,102.2,109.76799999999999,25.55,5
Cab,AIIMS (Delhi),Old Gurgaon (Delhi),537.5,498.6666666666667,149.7,150.70000000000002,37.425,6
Cab,AIIMS (Delhi),Paharganj (Delhi),574.5,574.5,70.52,70.52,17.63,2
Cab,AIIMS (Delhi),Palam Vihar (Delhi),962.0,1301.8,62.12,58.488,15.53,5
Cab,AIIMS (Delhi),Panchsheel Park (Delhi),436.0,548.2,76.2,81.264,19.05,5
Cab,AIIMS (Delhi),Panipat (Delhi),442.0,510.2,81.76,78.848,20.44,5
Cab,AIIMS (Delhi),Paschim Vihar (Delhi),334.0,664.0,106.32,90.90666666666667,26.58,9
Cab,AIIMS (Delhi),Pataudi Chowk (Delhi),1169.0,1169.0,112.92,112.92,28.23,2
Cab,AIIMS (Delhi),Patel Chowk (Delhi),470.0,470.0,83.2,83.2,20.8,2
Cab,AIIMS (Delhi),Peeragarhi (Delhi),698.0,688.25,108.58000000000001,107.44,27.145000000000003,4
Cab,AIIMS (Delhi),Pitampura (Delhi),496.0,433.7142857142857,111.92,99.90285714285713,27.98,7
Cab,AIIMS (Delhi),Pragati Maidan (Delhi),292.5,378.3333333333333,94.22,89.93333333333334,23.555,6
Cab,AIIMS (Delhi),Preet Vihar (Delhi),955.0,762.3333333333334,191.28,192.32000000000002,47.82,3
Cab,AIIMS (Delhi),Pulbangash (Delhi),515.5,515.5,79.32,79.32,19.83,2
Cab,AIIMS (Delhi),Punjabi Bagh (Delhi),135.0,135.0,80.46000000000001,80.46000000000001,20.115000000000002,4
Cab,AIIMS (Delhi),Qutub Minar (Delhi),678.0,762.3333333333334,126.44,114.52,31.61,3
Cab,AIIMS (Delhi),RK Puram (Delhi),201.0,497.7142857142857,158.04,112.02857142857144,39.51,7
Cab,AIIMS (Delhi),Raj Nagar Extension (Delhi),345.0,346.3333333333333,103.32,106.39999999999999,25.83,3
Cab,AIIMS (Delhi),Rajiv Chowk (Delhi),828.0,828.0,159.24,159.24,39.81,1
Cab,AIIMS (Delhi),Rajiv Nagar (Delhi),565.0,525.3333333333334,147.8,149.29333333333332,36.95,3
Cab,AIIMS (Delhi),Rajouri Garden (Delhi),774.0,1037.5,139.88,128.06,34.97,4
Cab,AIIMS (Delhi),Ramesh Nagar (Delhi),407.0,364.75,88.6,89.49,22.15,4
Cab,AIIMS (Delhi),Rohini (Delhi),476.5,476.5,27.72,27.72,6.93,2
Cab,AIIMS (Delhi),Rohini East (Delhi),348.0,362.57142857142856,37.16,71.84,9.29,7
Cab,AIIMS (Delhi),Rohini West (Delhi),644.0,604.3333333333334,165.48,136.54666666666665,41.37,3
Cab,AIIMS (Delhi),Sadar Bazar Gurgaon (Delhi),418.5,467.25,120.24000000000001,114.96,30.060000000000002,4
Cab,AIIMS (Delhi),Saidulajab (Delhi),318.0,367.4,99.44,108.61599999999999,24.86,5
Cab,AIIMS (Delhi),Saket (Delhi),430.5,454.9,99.38,92.02000000000001,24.845,10
Cab,AIIMS (Delhi),Saket A Block (Delhi),582.0,562.0,119.8,108.14,29.95,6
Cab,AIIMS (Delhi),Samaypur Badli (Delhi),149.0,149.0,56.6,56.6,14.15,1
Cab,AIIMS (Delhi),Sarai Kale Khan (Delhi),302.5,302.5,102.5,102.5,25.625,2
Cab,AIIMS (Delhi),Sarojini Nagar (Delhi),455.0,529.8333333333334,132.28,139.55333333333334,33.07,6
Cab,AIIMS (Delhi),Satguru Ram Singh Marg (Delhi),808.0,808.0,170.12,170.12,42.53,1
Cab,AIIMS (Delhi),Seelampur (Delhi),328.0,328.0,86.0,86.0,21.5,1
Cab,AIIMS (Delhi),Shahdara (Delhi),327.5,295.75,92.58,103.6,23.145,4
Cab,AIIMS (Delhi),Shastri Nagar (Delhi),999.0,999.0,108.92,108.92,27.23,1
Cab,AIIMS (Delhi),Shastri Park (Delhi),1457.0,1050.6666666666667,111.84,84.54666666666667,27.96,3
Cab,AIIMS (Delhi),Shivaji Park (Delhi),608.0,613.0,187.6,166.54666666666665,46.9,3
Cab,AIIMS (Delhi),Sikanderpur (Delhi),712.0,712.0,187.44,187.44,46.86,1
Cab,AIIMS (Delhi),Sohna Road (Delhi),585.0,555.0,97.78,88.4,24.445,4
Cab,AIIMS (Delhi),Sonipat (Delhi),387.0,387.0,83.36,83.36,20.84,1
Cab,AIIMS (Delhi),South Extension (Delhi),283.0,363.3333333333333,40.92,40.666666666666664,10.23,3
Cab,AIIMS (Delhi),Subhash Chowk (Delhi),596.0,642.25,70.32,91.12,17.58,4
Cab,AIIMS (Delhi),Subhash Nagar (Delhi),445.0,463.0,110.68,100.17142857142858,27.67,7
Cab,AIIMS (Delhi),Sultanpur (Delhi),715.0,675.6,108.96,110.60799999999999,27.24,5
Cab,AIIMS (Delhi),Sushant Lok (Delhi),512.0,617.6666666666666,92.48,111.14666666666669,23.12,3
Cab,AIIMS (Delhi),Tagore Garden (Delhi),372.5,523.25,113.58000000000001,106.44,28.395000000000003,4
Cab,AIIMS (Delhi),Tilak Nagar (Delhi),513.0,513.0,9.2,9.2,2.3,1
Cab,AIIMS (Delhi),Tis Hazari (Delhi),711.5,711.5,138.32,138.32,34.58,2
Cab,AIIMS (Delhi),Tughlakabad (Delhi),310.0,423.75,84.94,78.78999999999999,21.235,4
Cab,AIIMS (Delhi),Udyog Bhawan (Delhi),436.0,594.5,68.16,82.64,17.04,4
Cab,AIIMS (Delhi),Udyog Vihar (Delhi),555.0,635.0,131.28,144.744,32.82,5
Cab,AIIMS (Delhi),Udyog Vihar Phase 4 (Delhi),518.0,467.3333333333333,45.16,79.33333333333333,11.29,3
Cab,AIIMS (Delhi),Uttam Nagar (Delhi),1079.5,923.5,73.52,75.16,18.38,4
Cab,AIIMS (Delhi),Vaishali (Delhi),512.0,616.2,94.44,87.144,23.61,5
Cab,AIIMS (Delhi),Vasant Kunj (Delhi),804.5,687.25,139.32,132.37,34.83,4
Cab,AIIMS (Delhi),Vatika Chowk (Delhi),793.0,686.5,143.98000000000002,135.59333333333333,35.995000000000005,6
Cab,AIIMS (Delhi),Vidhan Sabha (Delhi),789.0,628.0,116.92,116.28000000000002,29.23,3
Cab,AIIMS (Delhi),Vinobapuri (Delhi),124.0,124.0,101.88,101.88,25.47,2
Cab,AIIMS (Delhi),Vishwavidyalaya (Delhi),410.5,410.5,166.48,166.48,41.62,2
Cab,AIIMS (Delhi),Welcome (Delhi),197.0,180.4,78.88,115.44800000000001,19.72,5
Cab,AIIMS (Delhi),Yamuna Bank (Delhi),335.0,453.2857142857143,144.16,132.49714285714285,36.04,7
Cab,Adarsh Nagar (Delhi),AIIMS (Delhi),229.0,283.0,109.68,114.13333333333333,27.42,6
Cab,Adarsh Nagar (Delhi),Akshardham (Delhi),260.0,260.0,111.36,111.36,27.84,1
Cab,Adarsh Nagar (Delhi),Ambience Mall (Delhi),58.0,58.0,108.76,108.76,27.19,1
Cab,Adarsh Nagar (Delhi),Anand Vihar (Delhi),183.5,183.5,95.28,95.28,23.82,2
Cab,Adarsh Nagar (Delhi),Anand Vihar ISBT (Delhi),431.0,400.6666666666667,124.64,127.78666666666668,31.16,3
Cab,Adarsh Nagar (Delhi),Ardee City (Delhi),1123.0,1213.3333333333333,108.84,89.75999999999999,27.21,3
Cab,Adarsh Nagar (Delhi),Arjangarh (Delhi),187.0,400.1666666666667,37.620000000000005,48.26666666666666,9.405000000000001,6
Cab,Adarsh Nagar (Delhi),Ashok Park Main (Delhi),488.0,524.3333333333334,152.4,124.12,38.1,3
Cab,Adarsh Nagar (Delhi),Ashok Vihar (Delhi),770.5,770.5,190.92000000000002,190.92000000000002,47.730000000000004,2
Cab,Adarsh Nagar (Delhi),Ashram (Delhi),328.0,319.4,177.36,149.224,44.34,5
Cab,Adarsh Nagar (Delhi),Aya Nagar (Delhi),616.0,573.8,152.36,112.2,38.09,5
Cab,Adarsh Nagar (Delhi),Azadpur (Delhi),309.0,356.0,98.52,100.58666666666666,24.63,3
Cab,Adarsh Nagar (Delhi),Badarpur (Delhi),474.0,358.3333333333333,128.84,150.92,32.21,3
Cab,Adarsh Nagar (Delhi),Badshahpur (Delhi),149.0,541.2,107.4,100.248,26.85,5
Cab,Adarsh Nagar (Delhi),Bahadurgarh (Delhi),606.0,606.0,24.58,24.58,6.145,2
Cab,Adarsh Nagar (Delhi),Barakhamba Road (Delhi),286.0,347.25,129.52,116.59,32.38,4
Cab,Adarsh Nagar (Delhi),Basai Dhankot (Delhi),175.0,175.0,133.0,133.0,33.25,2
Cab,Adarsh Nagar (Delhi),Bhikaji Cama Place (Delhi),406.0,660.6666666666666,133.24,154.32000000000002,33.31,3
Cab,Adarsh Nagar (Delhi),Bhiwadi (Delhi),670.0,538.5714285714286,133.28,121.64571428571428,33.32,7
Cab,Adarsh Nagar (Delhi),Botanical Garden (Delhi),398.0,612.5714285714286,88.8,91.25142857142858,22.2,7
Cab,Adarsh Nagar (Delhi),Chanakyapuri (Delhi),975.5,975.5,60.519999999999996,60.519999999999996,15.129999999999999,2
Cab,Adarsh Nagar (Delhi),Chandni Chowk (Delhi),535.0,491.3333333333333,166.28,175.45333333333335,41.57,3
Cab,Adarsh Nagar (Delhi),Chhatarpur (Delhi),714.5,714.5,158.72,152.55,39.68,4
Cab,Adarsh Nagar (Delhi),Chirag Delhi (Delhi),542.5,542.5,121.10000000000001,121.10000000000001,30.275000000000002,2
Cab,Adarsh Nagar (Delhi),Civil Lines Gurgaon (Delhi),316.0,316.0,115.68,115.68,28.92,2
Cab,Adarsh Nagar (Delhi),Connaught Place (Delhi),487.5,482.5,164.04,141.98499999999999,41.01,8
Cab,Adarsh Nagar (Delhi),Cyber Hub (Delhi),171.5,283.5,91.2,76.78,22.8,6
Cab,Adarsh Nagar (Delhi),DLF City Court (Delhi),407.0,407.0,74.02,74.02,18.505,2
Cab,Adarsh Nagar (Delhi),DLF Phase 3 (Delhi),556.0,457.4,51.56,87.88,12.89,5
Cab,Adarsh Nagar (Delhi),Delhi Gate (Delhi),336.0,435.0,169.4,163.6,42.35,3
Cab,Adarsh Nagar (Delhi),Dilshad Garden (Delhi),620.0,636.0,81.76,84.328,20.44,5
Cab,Adarsh Nagar (Delhi),Dwarka Mor (Delhi),464.0,749.75,142.02,136.71,35.505,4
Cab,Adarsh Nagar (Delhi),Dwarka Sector 21 (Delhi),161.0,161.0,192.96,192.96,48.24,1
Cab,Adarsh Nagar (Delhi),GTB Nagar (Delhi),521.0,492.6666666666667,158.0,129.82666666666668,39.5,3
Cab,Adarsh Nagar (Delhi),Ghaziabad (Delhi),143.0,143.0,182.84,182.84,45.71,1
Cab,Adarsh Nagar (Delhi),Ghitorni (Delhi),475.0,794.3333333333334,154.2,124.18666666666665,38.55,3
Cab,Adarsh Nagar (Delhi),Ghitorni Village (Delhi),526.0,526.0,116.1,116.1,29.025,2
Cab,Adarsh Nagar (Delhi),Golf Course Road (Delhi),377.0,348.0,80.32,105.19999999999999,20.08,4
Cab,Adarsh Nagar (Delhi),Govindpuri (Delhi),440.0,362.8,135.24,123.44800000000001,33.81,5
Cab,Adarsh Nagar (Delhi),Greater Kailash (Delhi),510.0,510.0,95.16,95.16,23.79,2
Cab,Adarsh Nagar (Delhi),Greater Noida (Delhi),331.5,402.1666666666667,124.41999999999999,113.96666666666665,31.104999999999997,6
Cab,Adarsh Nagar (Delhi),Green Park (Delhi),335.5,294.75,110.46000000000001,98.36,27.615000000000002,4
Cab,Adarsh Nagar (Delhi),Gurgaon Railway Station (Delhi),289.0,289.0,77.5,77.5,19.375,2
Cab,Adarsh Nagar (Delhi),Gurgaon Sector 29 (Delhi),938.0,938.0,168.64,168.64,42.16,1
Cab,Adarsh Nagar (Delhi),Gurgaon Sector 56 (Delhi),2197.0,2197.0,80.8,80.8,20.2,1
Cab,Adarsh Nagar (Delhi),Gwal Pahari (Delhi),667.0,667.0,108.68,108.68,27.17,1
Cab,Adarsh Nagar (Delhi),Hauz Khas (Delhi),429.0,427.75,88.24000000000001,91.03999999999999,22.060000000000002,4
Cab,Adarsh Nagar (Delhi),Hauz Rani (Delhi),295.5,384.0,86.8,92.63333333333333,21.7,6
Cab,Adarsh Nagar (Delhi),Hero Honda Chowk (Delhi),287.0,408.0,151.76,143.74666666666667,37.94,3
Cab,Adarsh Nagar (Delhi),Huda City Centre (Delhi),963.0,993.0,153.2,147.89333333333332,38.3,3
Cab,Adarsh Nagar (Delhi),IFFCO Chowk (Delhi),634.5,634.5,148.12,148.12,37.03,2
Cab,Adarsh Nagar (Delhi),IGI Airport (Delhi),307.0,270.6666666666667,35.96,55.53333333333333,8.99,3
Cab,Adarsh Nagar (Delhi),IGNOU Road (Delhi),788.5,788.5,128.2,128.2,32.05,2
Cab,Adarsh Nagar (Delhi),IIT Delhi (Delhi),530.0,530.0,120.82000000000001,120.82000000000001,30.205000000000002,2
Cab,Adarsh Nagar (Delhi),IMT Manesar (Delhi),476.0,439.75,109.14,103.15,27.285,4
Cab,Adarsh Nagar (Delhi),INA Market (Delhi),748.5,694.75,116.98,124.91999999999999,29.245,4
Cab,Adarsh Nagar (Delhi),ITO (Delhi),460.5,1017.75,175.2,157.18,43.8,4
Cab,Adarsh Nagar (Delhi),Inderlok (Delhi),568.0,568.0,42.56,42.56,10.64,1
Cab,Adarsh Nagar (Delhi),India Gate (Delhi),261.0,561.4,119.36,142.368,29.84,5
Cab,Adarsh Nagar (Delhi),Indirapuram (Delhi),306.0,443.0,128.84,115.63999999999999,32.21,3
Cab,Adarsh Nagar (Delhi),Indraprastha (Delhi),170.0,152.0,90.52,88.17333333333333,22.63,3
Cab,Adarsh Nagar (Delhi),Jahangirpuri (Delhi),226.0,226.0,31.96,31.96,7.99,2
Cab,Adarsh Nagar (Delhi),Jama Masjid (Delhi),451.5,432.75,124.17999999999999,116.44999999999999,31.044999999999998,4
Cab,Adarsh Nagar (Delhi),Janakpuri (Delhi),219.0,273.3333333333333,19.52,21.76,4.88,3
Cab,Adarsh Nagar (Delhi),Jasola (Delhi),810.0,690.6666666666666,86.76,76.01333333333334,21.69,3
Cab,Adarsh Nagar (Delhi),Jhilmil (Delhi),496.0,488.6,103.28,83.488,25.82,5
Cab,Adarsh Nagar (Delhi),Jor Bagh (Delhi),257.0,414.25,113.38000000000001,112.33000000000001,28.345000000000002,4
Cab,Adarsh Nagar (Delhi),Kadarpur (Delhi),652.0,652.0,127.64,127.64,31.91,1
Cab,Adarsh Nagar (Delhi),Kalkaji (Delhi),305.0,231.6,138.44,138.656,34.61,5
Cab,Adarsh Nagar (Delhi),Kanhaiya Nagar (Delhi),85.0,118.0,9.2,14.159999999999998,2.3,3
Cab,Adarsh Nagar (Delhi),Karkarduma (Delhi),414.0,425.6666666666667,56.92,79.70666666666666,14.23,3
